Australia,"Lattitude_Longitude"
Austria,"48.208174,16.373819"
Bangladesh,"23.810332,90.412518"
Belgium,"50.85034,4.35171"
Brazil,"-15.794229,-47.882166"
Bulgaria,"42.697708,23.321868"
Cambodia,"11.544873,104.892167"
Canada,"45.42153,-75.697193"
Chile,"-33.44889,-70.669265"
China,"39.904211,116.407395"
Colombia,"4.710989,-74.072092"
Costa_Rica,"9.928069,-84.090725"
Cuba,"23.05407,-82.345189"
CzechRepublic,"50.075538,14.4378"
Denmark,"55.676097,12.568337"
Finland,"60.173324,24.941025"
France,"48.856614,2.352222"
Germany,"52.520007,13.404954"
Greenland,"64.18141,-51.694138"
Hong_Kong,"22.396428,114.109497"
Hungary,"47.497912,19.040235"
Iceland,"64.126521,-21.817439"
India,"28.613939,77.209021"
Indonesia,"-6.208763,106.845599"
Iran,"35.689198,51.388974"
Iraq,"33.312806,44.361488"
Israel,"32.0853,34.781768"
Italy,"41.902784,12.496366"
Japan,"35.709026,139.731992"
Jordan,"31.956578,35.945695"
Kazakhstan,"51.160523,71.470356"
Kenya,"-1.292066,36.821946"
Kuwait,"29.375859,47.977405"
Libya,"32.887209,13.191338"
Luxembourg,"49.611621,6.131935"
Madagascar,"-18.87919,47.507905"
Malaysia,"3.139003,101.686855"
Maldives,"4.175496,73.509347"
Myanmar,"19.763306,96.07851"
Netherlands,"52.370216,4.895168"
Norway,"59.913869,10.752245"
Pakistan,"33.729388,73.093146"
Peru,"-12.046374,-77.042793"
Poland,"52.229676,21.012229"
Portugal,"38.722252,-9.139337"
Qatar,"25.285447,51.53104"
Singapore,"1.280095,103.850949"
Spain,"40.416775,-3.70379"
Switzerland,"46.947974,7.447447"
Taiwan,"25.032969,121.565418"
UK,"51.507351,-0.127758"
USA,"38.907192,-77.036871"